sim_time; tb3_1?world_angular_velocity/y
128.226; 7.74684e-05
128.227; 2.68715e-05
128.228; 4.93942e-06
128.229; 0.000285054
128.23; 0.000485112
128.231; 0.000445553
128.232; 0.000226036
128.233; -2.75295e-05
128.234; -0.00019574
128.235; -0.000235643
128.236; -1.21577e-05
128.237; 0.000162316
128.238; 0.000583806
128.239; 0.000638866
128.24; 0.000643546
128.241; 0.000521647
128.242; 0.000555694
128.243; 0.000379685
128.244; 0.000413417
128.245; 0.000269715
128.246; 0.000402255
128.247; 0.00110591
128.248; 0.00126351
128.249; 0.000989866
128.25; 0.00065858
128.251; 0.000305708
128.252; 0.000112615
128.253; -8.23625e-05
128.254; 6.52569e-05
128.255; 3.3773e-05
128.256; 0.000380342
128.257; 0.000558325
128.258; 0.000802499
128.259; 0.000958258
128.26; 0.000962042
128.261; 0.000839784
128.262; 0.000654333
128.263; 0.000464263
128.264; 0.000299526
128.265; 0.000204656
128.266; 0.000158681
128.267; 0.00018438
128.268; 0.000480901
128.269; 0.000791135
128.27; 0.000971741
128.271; 0.000974102
128.272; 0.000833722
128.273; 3.81129e-05
128.274; 0.00108589
128.275; -0.00146389
128.276; -0.000594248
128.277; 0.00184458
128.278; 0.00345485
128.279; 0.000789785
128.28; -9.81162e-06
128.281; 0.000224229
128.282; 0.000598456
128.283; 0.000767886
128.284; 0.000739387
128.285; 0.000634409
128.286; 0.000538858
128.287; 0.000470538
128.288; 0.000411807
128.289; 0.000345507
128.29; 0.000269026
128.291; 0.000191192
128.292; 0.000123349
128.293; 7.30058e-05
128.294; 4.16667e-05
128.295; 2.60306e-05
128.296; 2.07501e-05
128.297; 2.03845e-05
128.298; 2.09389e-05
128.299; 1.9867e-05
128.3; 1.61243e-05
128.301; 1.00224e-05
128.302; 2.60843e-06
128.303; -4.90898e-06
128.304; -1.13914e-05
128.305; -1.62843e-05
128.306; -1.96606e-05
128.307; -2.17864e-05
128.308; -2.30307e-05
128.309; -2.37584e-05
128.31; -2.41139e-05
128.311; -2.41053e-05
128.312; -2.30078e-05
128.313; -0.0019268
128.314; -0.00178169
128.315; -0.00112664
128.316; -0.000696625
128.317; -0.000517979
128.318; -0.000424387
128.319; -0.00033397
128.32; -0.000259172
128.321; -0.000230957
128.322; -0.000252633
128.323; -0.00030023
128.324; -0.000341916
128.325; -0.000354258
128.326; -0.000329667
128.327; -0.000274479
128.328; -0.000206104
128.329; -0.000133449
128.33; -8.4056e-05
128.331; -0.0001285
128.332; -0.000438908
128.333; -3.76295e-05
128.334; 0.0019152
128.335; 0.00256112
128.336; 0.00165933
128.337; 0.000339444
128.338; -0.000519223
128.339; -0.0006291
128.34; -0.000124089
128.341; 0.000715151
128.342; 0.0017016
128.343; 0.00250028
128.344; 0.00142858
128.345; 0.000810279
128.346; -0.00420721
128.347; -0.00562416
128.348; -0.00483169
128.349; -0.00327166
128.35; -0.00178096
128.351; -0.000634241
128.352; 0.000156339
128.353; 0.000627682
128.354; 0.000814452
128.355; 0.000770809
128.356; 0.000547231
128.357; 0.000219452
128.358; -9.89916e-05
128.359; -0.00033008
128.36; -0.000446277
128.361; -0.000454567
128.362; -0.000380881
128.363; -0.000245233
128.364; -6.22016e-05
128.365; 0.000133521
128.366; 0.000302278
128.367; 0.00040017
128.368; 0.000421526
128.369; 0.000384549
128.37; 0.000315231
128.371; 0.000237607
128.372; 0.00016903
128.373; 0.000119503
128.374; 9.04837e-05
128.375; 7.50154e-05
128.376; 5.50661e-05
128.377; -1.86161e-05
128.378; 0.000367833
128.379; 0.000616438
128.38; 0.000798135
128.381; 0.000585631
128.382; 8.72084e-05
128.383; -0.00038627
128.384; -0.000624055
128.385; -0.000586099
128.386; -0.000351766
128.387; -4.24065e-05
128.388; 0.000236477
128.389; 0.000421145
128.39; 0.000492075
128.391; 0.000463221
128.392; 0.000368003
128.393; 0.000246342
128.394; 0.000133881
128.395; 5.53089e-05
128.396; 2.12309e-05
128.397; 2.90013e-05
128.398; 2.54859e-05
128.399; 0.000590237
128.4; 0.000877738
128.401; 0.000625498
128.402; -3.12036e-05
128.403; -0.000789755
128.404; -0.00131569
128.405; -0.00158579
128.406; -0.00118694
128.407; 0.00171314
128.408; -0.000407363
128.409; -0.00174165
128.41; -0.001003
128.411; -0.00138395
128.412; -0.000465558
128.413; -0.000979874
128.414; -0.000777776
128.415; -0.000408181
128.416; -0.000132545
128.417; 0.000198474
128.418; -0.00042247
128.419; -0.000391512
128.42; -0.000212211
128.421; -0.000171676
128.422; -0.000451362
128.423; -0.000362577
128.424; -0.000199263
128.425; -0.000105442
128.426; -0.000149743
128.427; -0.000219018
128.428; -6.35939e-05
128.429; 0.000109876
128.43; 0.000173664
128.431; 0.000163177
128.432; 0.000108891
128.433; 4.20271e-05
128.434; -1.20224e-05
128.435; -3.82008e-05
128.436; -1.53671e-05
128.437; 3.27649e-05
128.438; 8.93579e-05
128.439; 0.000141347
128.44; 0.000180224
128.441; 0.00020262
128.442; 0.000209714
128.443; 0.000205513
128.444; 0.000195488
128.445; 0.000184685
128.446; 0.000176357
128.447; 0.00017185
128.448; 0.000170417
128.449; 0.000191289
128.45; 0.000221888
128.451; 0.00026001
128.452; 0.000274268
128.453; 0.000258323
128.454; 0.000195449
128.455; 5.19807e-05
128.456; 0.000296665
128.457; 0.000539142
128.458; 0.000457236
128.459; 0.000185052
128.46; -4.02209e-05
128.461; -0.000142426
128.462; -0.000169118
128.463; 6.20688e-05
128.464; 0.000357387
128.465; 0.000602064
128.466; 0.000736809
128.467; 0.000790937
128.468; 0.000812667
128.469; 0.000667204
128.47; 0.00069915
128.471; 0.000760254
128.472; 0.000762438
128.473; 0.000693764
128.474; 0.000431406
128.475; 0.00045837
128.476; 0.000587272
128.477; 0.000656591
128.478; 0.000625623
128.479; 0.000452662
128.48; 0.000344972
128.481; 6.45505e-05
128.482; 0.00013103
128.483; 0.000327289
128.484; 0.000465265
128.485; 0.000540655
128.486; 0.000126641
128.487; 9.97102e-05
128.488; 0.000243384
128.489; 0.000356472
128.49; 0.000208562
128.491; 0.000249633
128.492; 0.000325099
128.493; 0.000248953
128.494; 0.000235761
128.495; -2.08367e-05
128.496; 4.28617e-05
128.497; 0.000212663
128.498; 0.000324134
128.499; 0.000247412
128.5; 0.000208897
128.501; 1.61688e-05
128.502; -4.22672e-06
128.503; 2.8403e-05
128.504; 3.81627e-05
128.505; -0.000145682
128.506; -0.000102101
128.507; 1.66776e-05
128.508; 0.000106455
128.509; 0.000133542
128.51; 9.99693e-05
128.511; 2.55099e-05
128.512; -6.23044e-05
128.513; 0.000665303
128.514; 0.000302009
128.515; -0.000360285
128.516; -0.000865076
128.517; -0.00103482
128.518; -0.00086824
128.519; -0.000469227
128.52; 1.92813e-05
128.521; 0.000466214
128.522; 0.000783216
128.523; 0.000934844
128.524; 0.000932876
128.525; 0.000819675
128.526; 0.000650297
128.527; 0.000474614
128.528; 0.000326051
128.529; 0.000220991
128.53; 0.000161014
128.531; 0.000138227
128.532; 0.000140238
128.533; 0.000154655
