sim_time; tb3_1?world_linear_velocity/x
128,612;-0,0374071
128,613;-0,0374126
128,614;-0,0373607
128,615;-0,0373169
128,616;-0,0372973
128,617;-0,0372961
128,618;-0,0373077
128,619;-0,0373255
128,62;-0,037344
128,621;-0,0373615
128,622;-0,0373785
128,623;-0,0373968
128,624;-0,0374179
128,625;-0,0374425
128,626;-0,0374704
128,627;-0,037501
128,628;-0,037533
128,629;-0,0375658
128,63;-0,0375985
128,631;-0,0376306
128,632;-0,037662
128,633;-0,0376923
128,634;-0,0377215
128,635;-0,0377497
128,636;-0,037777
128,637;-0,0378037
128,638;-0,0378298
128,639;-0,0378557
128,64;-0,0378815
128,641;-0,0379073
128,642;-0,0379331
128,643;-0,037959
128,644;-0,0379848
128,645;-0,0380104
128,646;-0,0380357
128,647;-0,0380608
128,648;-0,0380855
128,649;-0,0381097
128,65;-0,0381337
128,651;-0,0381573
128,652;-0,0381806
128,653;-0,0382037
128,654;-0,0382265
128,655;-0,0382492
128,656;-0,0382718
128,657;-0,0382942
128,658;-0,0383164
128,659;-0,0383384
128,66;-0,0383602
128,661;-0,0383818
128,662;-0,0384031
128,663;-0,0384243
128,664;-0,0384451
128,665;-0,0384658
128,666;-0,0384862
128,667;-0,0385064
128,668;-0,0385263
128,669;-0,0385461
128,67;-0,0385657
128,671;-0,0385846
128,672;-0,0386029
128,673;-0,0386209
128,674;-0,0386386
128,675;-0,0386563
128,676;-0,038674
128,677;-0,0386918
128,678;-0,0387097
128,679;-0,0387277
128,68;-0,0387455
128,681;-0,038763
128,682;-0,0387802
128,683;-0,0387973
128,684;-0,0388143
128,685;-0,038831
128,686;-0,0388475
128,687;-0,0388637
128,688;-0,0388796
128,689;-0,0388953
128,69;-0,0389107
128,691;-0,038926
128,692;-0,0389412
128,693;-0,0389565
128,694;-0,0389717
128,695;-0,0389868
128,696;-0,0390017
128,697;-0,0390165
128,698;-0,0390313
128,699;-0,0390462
128,7;-0,0389339
128,701;-0,0388825
128,702;-0,0388655
128,703;-0,0388643
128,704;-0,0388703
128,705;-0,0388802
128,706;-0,0388933
128,707;-0,0389095
128,708;-0,038929
128,709;-0,0389515
128,71;-0,0389762
128,711;-0,0390024
128,712;-0,039029
128,713;-0,0391946
128,714;-0,0392799
128,715;-0,039301
128,716;-0,0392768
128,717;-0,0392182
128,718;-0,0391338
128,719;-0,0390327
128,72;-0,0389249
128,721;-0,0388206
128,722;-0,0387289
128,723;-0,0386575
128,724;-0,0386117
