sim_time, tb3_1?world_pose/position/y
128.529, 0.0591219
128.53, 0.0591022
128.531, 0.0590826
128.532, 0.059063
128.533, 0.0590435
128.534, 0.0590241
128.535, 0.0590048
128.536, 0.0589855
128.537, 0.0589663
128.538, 0.0589472
128.539, 0.0589282
128.54, 0.0589092
128.541, 0.0588903
128.542, 0.0588715
128.543, 0.0588528
128.544, 0.0588342
128.545, 0.0588156
128.546, 0.0587971
128.547, 0.0587788
128.548, 0.0587605
128.549, 0.0587423
128.55, 0.0587242
128.551, 0.0587062
128.552, 0.0586882
128.553, 0.0586704
128.554, 0.0586527
128.555, 0.058635
128.556, 0.0586174
128.557, 0.0585999
128.558, 0.0585826
128.559, 0.0585653
128.56, 0.058548
128.561, 0.0585309
128.562, 0.0585139
128.563, 0.058497
128.564, 0.0584801
128.565, 0.0584633
128.566, 0.0584467
128.567, 0.0584301
128.568, 0.0584136
128.569, 0.0583972
128.57, 0.0583809
128.571, 0.0583646
128.572, 0.0583485
128.573, 0.0583324
128.574, 0.0583165
128.575, 0.0583006
128.576, 0.0582849
128.577, 0.0582692
128.578, 0.0582536
128.579, 0.0582381
128.58, 0.0582227
128.581, 0.0582074
128.582, 0.0581922
128.583, 0.0581771
128.584, 0.058162
128.585, 0.0581471
128.586, 0.0581322
128.587, 0.0581175
128.588, 0.0581028
128.589, 0.0580882
128.59, 0.0580737
128.591, 0.0580593
128.592, 0.058045
128.593, 0.0580308
128.594, 0.0580167
128.595, 0.0580027
128.596, 0.0579887
128.597, 0.0579749
128.598, 0.0579612
128.599, 0.0579475
128.6, 0.0579339
128.601, 0.0579205
128.602, 0.0579071
128.603, 0.0578938
128.604, 0.0578806
128.605, 0.0578675
128.606, 0.0578545
128.607, 0.0578416
128.608, 0.0578287
128.609, 0.057816
128.61, 0.0578034
128.611, 0.0577908
128.612, 0.0577784
128.613, 0.0577661
128.614, 0.0577538
128.615, 0.0577416
128.616, 0.0577295
128.617, 0.0577175
128.618, 0.0577056
128.619, 0.057694
128.62, 0.0576824
128.621, 0.057671
128.622, 0.0576597
128.623, 0.0576484
128.624, 0.0576372
128.625, 0.0576261
128.626, 0.0576151
128.627, 0.0576042
128.628, 0.0575934
128.629, 0.0575826
128.63, 0.057572
128.631, 0.0575614
128.632, 0.057551
128.633, 0.0575406
128.634, 0.0575303
128.635, 0.0575201
128.636, 0.05751
128.637, 0.0575
128.638, 0.05749
128.639, 0.0574802
128.64, 0.0574704
128.641, 0.0574608
128.642, 0.0574512
128.643, 0.0574418
128.644, 0.0574324
128.645, 0.0574232
128.646, 0.057414
128.647, 0.0574049
128.648, 0.0573959
128.649, 0.057387
128.65, 0.0573782
128.651, 0.0573695
128.652, 0.0573609
128.653, 0.0573524
128.654, 0.057344
128.655, 0.0573357
128.656, 0.0573274
128.657, 0.0573193
128.658, 0.0573113
128.659, 0.0573033
128.66, 0.0572955
128.661, 0.0572877
128.662, 0.0572801
128.663, 0.0572725
128.664, 0.057265
128.665, 0.0572577
128.666, 0.0572504
128.667, 0.0572432
128.668, 0.0572361
128.669, 0.0572291
128.67, 0.0572222
128.671, 0.0572154
128.672, 0.0572087
128.673, 0.0572021
128.674, 0.0571956
128.675, 0.0571892
128.676, 0.0571829
128.677, 0.0571766
128.678, 0.0571705
128.679, 0.0571645
128.68, 0.0571586
128.681, 0.0571527
128.682, 0.057147
128.683, 0.0571413
128.684, 0.0571358
128.685, 0.0571303
128.686, 0.057125
128.687, 0.0571197
128.688, 0.0571146
128.689, 0.0571095
128.69, 0.0571045
128.691, 0.0570997
128.692, 0.0570949
128.693, 0.0570902
128.694, 0.0570856
128.695, 0.0570812
128.696, 0.0570768
128.697, 0.0570725
128.698, 0.0570683
128.699, 0.0570642
128.7, 0.0570602
128.701, 0.0570563
128.702, 0.0570525
128.703, 0.0570488
128.704, 0.0570452
128.705, 0.0570417
128.706, 0.0570383
128.707, 0.057035
128.708, 0.0570318
128.709, 0.0570287
128.71, 0.0570257
128.711, 0.0570228
128.712, 0.05702
128.713, 0.0570173
128.714, 0.0570148
128.715, 0.0570123
128.716, 0.0570099
128.717, 0.0570076
128.718, 0.0570054
128.719, 0.0570032
128.72, 0.057001
128.721, 0.056999
128.722, 0.056997
128.723, 0.0569952
128.724, 0.0569934
128.725, 0.0569918
128.726, 0.0569904
128.727, 0.056989
128.728, 0.0569878
128.729, 0.0569867
128.73, 0.0569857
128.731, 0.0569848
128.732, 0.056984
128.733, 0.0569834
128.734, 0.0569828
128.735, 0.0569823
128.736, 0.056982
128.737, 0.0569817
128.738, 0.0569815
128.739, 0.0569814
128.74, 0.0569814
128.741, 0.0569815
128.742, 0.0569816
128.743, 0.0569819
128.744, 0.0569822
128.745, 0.0569827
128.746, 0.0569832
128.747, 0.0569838
128.748, 0.0569845
128.749, 0.0569853
128.75, 0.0569863
128.751, 0.0569873
128.752, 0.0569884
128.753, 0.0569896
128.754, 0.0569909
128.755, 0.0569923
128.756, 0.0569938
128.757, 0.0569954
128.758, 0.0569971
128.759, 0.0569988
128.76, 0.0570007
128.761, 0.0570026
128.762, 0.0570047
128.763, 0.0570068
128.764, 0.057009
128.765, 0.0570113
128.766, 0.0570137
128.767, 0.0570162
128.768, 0.0570188
128.769, 0.0570215
128.77, 0.0570242
128.771, 0.0570271
128.772, 0.0570301
128.773, 0.0570331
128.774, 0.0570363
128.775, 0.0570396
128.776, 0.0570429
128.777, 0.0570464
128.778, 0.0570499
128.779, 0.0570536
128.78, 0.0570573
128.781, 0.0570611
128.782, 0.0570651
128.783, 0.0570691
128.784, 0.0570733
128.785, 0.0570775
128.786, 0.0570818
128.787, 0.0570863
128.788, 0.0570908
128.789, 0.0570954
128.79, 0.0571001
128.791, 0.0571049
128.792, 0.0571099
128.793, 0.0571149
128.794, 0.05712
128.795, 0.0571252
128.796, 0.0571305
128.797, 0.0571359
128.798, 0.0571414
128.799, 0.057147
128.8, 0.0571528
128.801, 0.0571586
128.802, 0.0571646
128.803, 0.0571707
128.804, 0.0571769
128.805, 0.0571832
128.806, 0.0571896
128.807, 0.0571961
128.808, 0.0572026
128.809, 0.0572093
128.81, 0.057216
128.811, 0.0572229
128.812, 0.0572298
128.813, 0.0572367
128.814, 0.0572435
128.815, 0.0572504
128.816, 0.0572573
128.817, 0.0572643
128.818, 0.0572713
128.819, 0.0572783
128.82, 0.0572854
128.821, 0.0572926
128.822, 0.0572997
128.823, 0.0573069
128.824, 0.0573142
128.825, 0.0573214
128.826, 0.0573287
128.827, 0.057336
128.828, 0.0573433
128.829, 0.0573506
128.83, 0.0573579
128.831, 0.0573653
128.832, 0.0573727
128.833, 0.0573801
128.834, 0.0573875
128.835, 0.0573949
128.836, 0.0574023
128.837, 0.0574097
128.838, 0.0574171
128.839, 0.0574245
128.84, 0.057432
128.841, 0.0574394
128.842, 0.0574469
128.843, 0.0574543
128.844, 0.0574618
128.845, 0.0574692
128.846, 0.0574767
128.847, 0.0574842
128.848, 0.0574918
128.849, 0.0574994
128.85, 0.057507
128.851, 0.0575145
128.852, 0.0575221
128.853, 0.0575297
128.854, 0.0575373
128.855, 0.057545
128.856, 0.0575526
128.857, 0.0575602
128.858, 0.0575679
128.859, 0.0575755
128.86, 0.0575832
128.861, 0.0575908
128.862, 0.0575985
128.863, 0.0576062
128.864, 0.0576139
128.865, 0.0576216
128.866, 0.0576293
128.867, 0.0576371
128.868, 0.0576448
128.869, 0.0576526
128.87, 0.0576604
128.871, 0.0576682
128.872, 0.057676
128.873, 0.0576838
